Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.00      9.53     0.00    26166     0.00     0.00  std::__detail::_Mod<unsigned long, 624ul, 1ul, 0ul, true, true>::__calc(unsigned long)
  0.00      9.53     0.00    26166     0.00     0.00  unsigned long std::__detail::__mod<unsigned long, 624ul, 1ul, 0ul>(unsigned long)
  0.00      9.53     0.00    16329     0.00     0.00  __gnu_cxx::__normal_iterator<long const*, std::vector<long, std::allocator<long> > >::difference_type __gnu_cxx::operator-<long const*, std::vector<long, std::allocator<long> > >(__gnu_cxx::__normal_iterator<long const*, std::vector<long, std::allocator<long> > > const&, __gnu_cxx::__normal_iterator<long const*, std::vector<long, std::allocator<long> > > const&)
  0.00      9.53     0.00    16289     0.00     0.00  __gnu_cxx::__ops::_Iter_pred<number_of_last_cluster(std::vector<long, std::allocator<long> > const&)::{lambda(int)#1}>::_Iter_pred(number_of_last_cluster(std::vector<long, std::allocator<long> > const&)::{lambda(int)#1})
  0.00      9.53     0.00    16289     0.00     0.00  __gnu_cxx::__ops::_Iter_pred<number_of_last_cluster(std::vector<long, std::allocator<long> > const&)::{lambda(int)#1}> __gnu_cxx::__ops::__pred_iter<number_of_last_cluster(std::vector<long, std::allocator<long> > const&)::{lambda(int)#1}>(number_of_last_cluster(std::vector<long, std::allocator<long> > const&)::{lambda(int)#1})
  0.00      9.53     0.00    16289     0.00     0.00  std::vector<long, std::allocator<long> >::end() const
  0.00      9.53     0.00    16289     0.00     0.00  std::vector<long, std::allocator<long> >::begin() const
  0.00      9.53     0.00    16289     0.00     0.00  std::iterator_traits<__gnu_cxx::__normal_iterator<long const*, std::vector<long, std::allocator<long> > > >::iterator_category std::__iterator_category<__gnu_cxx::__normal_iterator<long const*, std::vector<long, std::allocator<long> > > >(__gnu_cxx::__normal_iterator<long const*, std::vector<long, std::allocator<long> > > const&)
  0.00      9.53     0.00    16289     0.00     0.00  __gnu_cxx::__normal_iterator<long const*, std::vector<long, std::allocator<long> > > std::find_if<__gnu_cxx::__normal_iterator<long const*, std::vector<long, std::allocator<long> > >, number_of_last_cluster(std::vector<long, std::allocator<long> > const&)::{lambda(int)#1}>(__gnu_cxx::__normal_iterator<long const*, std::vector<long, std::allocator<long> > >, __gnu_cxx::__normal_iterator<long const*, std::vector<long, std::allocator<long> > >, number_of_last_cluster(std::vector<long, std::allocator<long> > const&)::{lambda(int)#1})
  0.00      9.53     0.00    16289     0.00     0.00  bool std::none_of<__gnu_cxx::__normal_iterator<long const*, std::vector<long, std::allocator<long> > >, number_of_last_cluster(std::vector<long, std::allocator<long> > const&)::{lambda(int)#1}>(__gnu_cxx::__normal_iterator<long const*, std::vector<long, std::allocator<long> > >, __gnu_cxx::__normal_iterator<long const*, std::vector<long, std::allocator<long> > >, number_of_last_cluster(std::vector<long, std::allocator<long> > const&)::{lambda(int)#1})
