Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
-----------------------------------------------
                0.00    0.00       1/202         std::vector<double, std::allocator<double> >::_M_fill_initialize(unsigned long, double const&) [234]
                0.00    0.00      40/202         std::vector<double, std::allocator<double> >::reserve(unsigned long) [171]
                0.00    0.00      80/202         void std::vector<double, std::allocator<double> >::_M_range_initialize<double const*>(double const*, double const*, std::forward_iterator_tag) [170]
                0.00    0.00      81/202         std::vector<double, std::allocator<double> >::~vector() [20]
[102]    0.0    0.00    0.00     202         std::_Vector_base<double, std::allocator<double> >::_M_get_Tp_allocator() [102]
-----------------------------------------------
                0.00    0.00     163/163         std::allocator<double>::~allocator() [105]
[103]    0.0    0.00    0.00     163         __gnu_cxx::new_allocator<double>::~new_allocator() [103]
-----------------------------------------------
                0.00    0.00       1/163         compute_mean(std::vector<double, std::allocator<double> > const&) [50]
                0.00    0.00       2/163         standard_deviation(std::vector<double, std::allocator<double> > const&, double) [201]
                0.00    0.00      40/163         std::vector<double, std::allocator<double> >::reserve(unsigned long) [171]
                0.00    0.00     120/163         std::discrete_distribution<int>::param_type::_M_initialize() [162]
[104]    0.0    0.00    0.00     163         std::vector<double, std::allocator<double> >::size() const [104]
-----------------------------------------------
                0.00    0.00       1/163         compute_mean_and_standard_deviation_for_percolating_probability(long, double, int, int, int) [2]
                0.00    0.00      40/163         std::discrete_distribution<int>::param_type::param_type(std::initializer_list<double>) [163]
                0.00    0.00      41/163         std::vector<double, std::allocator<double> >::_S_check_init_len(unsigned long, std::allocator<double> const&) [148]
                0.00    0.00      81/163         std::_Vector_base<double, std::allocator<double> >::_Vector_impl::~_Vector_impl() [123]
[105]    0.0    0.00    0.00     163         std::allocator<double>::~allocator() [105]
                0.00    0.00     163/163         __gnu_cxx::new_allocator<double>::~new_allocator() [103]
-----------------------------------------------
                0.00    0.00      81/162         __gnu_cxx::new_allocator<double>::max_size() const [119]
                0.00    0.00      81/162         __gnu_cxx::new_allocator<double>::allocate(unsigned long, void const*) [117]
[106]    0.0    0.00    0.00     162         __gnu_cxx::new_allocator<double>::_M_max_size() const [106]
-----------------------------------------------
                0.00    0.00     160/160         std::discrete_distribution<int>::param_type::_M_initialize() [162]
[107]    0.0    0.00    0.00     160         std::vector<double, std::allocator<double> >::begin() [107]
                0.00    0.00     160/280         __gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > >::__normal_iterator(double* const&) [101]
-----------------------------------------------
                0.00    0.00      40/160         double* std::__copy_move_a<false, double const*, double*>(double const*, double const*, double*) [181]
                0.00    0.00     120/160         double* std::__relocate_a<double*, double*, std::allocator<double> >(double*, double*, double*, std::allocator<double>&) [180]
[108]    0.0    0.00    0.00     160         double* std::__niter_base<double*>(double*) [108]
-----------------------------------------------
                0.00    0.00      80/160         void std::allocator_traits<std::allocator<double> >::construct<double, double const&>(std::allocator<double>&, double*, double const&) [135]
                0.00    0.00      80/160         void __gnu_cxx::new_allocator<double>::construct<double, double const&>(double*, double const&) [132]
[109]    0.0    0.00    0.00     160         double const& std::forward<double const&>(std::remove_reference<double const&>::type&) [109]
-----------------------------------------------
                0.00    0.00     134/134         is_there_a_percolating(std::vector<long, std::allocator<long> > const&) [12]
[110]    0.0    0.00    0.00     134         is_percolating(std::vector<long, std::allocator<long> > const&, long) [110]
                0.00    0.00   58624/58624       std::vector<long, std::allocator<long> >::operator[](unsigned long) const [83]
                0.00    0.00     134/417007      std::vector<long, std::allocator<long> >::size() const [70]
                0.00    0.00     134/400638      __gnu_cxx::__enable_if<std::__is_integer<unsigned long>::__value, double>::__type std::sqrt<unsigned long>(unsigned long) [71]
-----------------------------------------------
                0.00    0.00      40/121         std::vector<double, std::allocator<double> >::reserve(unsigned long) [171]
                0.00    0.00      81/121         std::_Vector_base<double, std::allocator<double> >::~_Vector_base() [125]
[111]    0.0    0.00    0.00     121         std::_Vector_base<double, std::allocator<double> >::_M_deallocate(double*, unsigned long) [111]
                0.00    0.00      81/81          std::allocator_traits<std::allocator<double> >::deallocate(std::allocator<double>&, double*, unsigned long) [126]
-----------------------------------------------
                0.00    0.00     120/120         std::discrete_distribution<int>::param_type::_M_initialize() [162]
[112]    0.0    0.00    0.00     120         std::vector<double, std::allocator<double> >::end() [112]
                0.00    0.00     120/280         __gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > >::__normal_iterator(double* const&) [101]
-----------------------------------------------
                0.00    0.00      82/82          std::allocator<double>::allocator(std::allocator<double> const&) [114]
[113]    0.0    0.00    0.00      82         __gnu_cxx::new_allocator<double>::new_allocator(__gnu_cxx::new_allocator<double> const&) [113]
-----------------------------------------------
                0.00    0.00      41/82          std::vector<double, std::allocator<double> >::_S_check_init_len(unsigned long, std::allocator<double> const&) [148]
                0.00    0.00      41/82          std::_Vector_base<double, std::allocator<double> >::_Vector_impl::_Vector_impl(std::allocator<double> const&) [147]
[114]    0.0    0.00    0.00      82         std::allocator<double>::allocator(std::allocator<double> const&) [114]
                0.00    0.00      82/82          __gnu_cxx::new_allocator<double>::new_allocator(__gnu_cxx::new_allocator<double> const&) [113]
-----------------------------------------------
                0.00    0.00       1/82          std::vector<long, std::allocator<long> >::_S_max_size(std::allocator<long> const&) [236]
                0.00    0.00      81/82          std::vector<double, std::allocator<double> >::_S_max_size(std::allocator<double> const&) [129]
[115]    0.0    0.00    0.00      82         unsigned long const& std::min<unsigned long>(unsigned long const&, unsigned long const&) [115]
-----------------------------------------------
                0.00    0.00      81/81          std::allocator_traits<std::allocator<double> >::deallocate(std::allocator<double>&, double*, unsigned long) [126]
[116]    0.0    0.00    0.00      81         __gnu_cxx::new_allocator<double>::deallocate(double*, unsigned long) [116]
-----------------------------------------------
                0.00    0.00      81/81          std::allocator_traits<std::allocator<double> >::allocate(std::allocator<double>&, unsigned long) [127]
[117]    0.0    0.00    0.00      81         __gnu_cxx::new_allocator<double>::allocate(unsigned long, void const*) [117]
                0.00    0.00      81/162         __gnu_cxx::new_allocator<double>::_M_max_size() const [106]
-----------------------------------------------
                0.00    0.00      81/81          std::allocator<double>::allocator() [120]
[118]    0.0    0.00    0.00      81         __gnu_cxx::new_allocator<double>::new_allocator() [118]
-----------------------------------------------
                0.00    0.00      81/81          std::allocator_traits<std::allocator<double> >::max_size(std::allocator<double> const&) [128]
[119]    0.0    0.00    0.00      81         __gnu_cxx::new_allocator<double>::max_size() const [119]
                0.00    0.00      81/162         __gnu_cxx::new_allocator<double>::_M_max_size() const [106]
-----------------------------------------------
                0.00    0.00       1/81          compute_mean_and_standard_deviation_for_percolating_probability(long, double, int, int, int) [2]
                0.00    0.00      40/81          std::discrete_distribution<int>::param_type::param_type(std::initializer_list<double>) [163]
                0.00    0.00      40/81          std::_Vector_base<double, std::allocator<double> >::_Vector_impl::_Vector_impl() [157]
[120]    0.0    0.00    0.00      81         std::allocator<double>::allocator() [120]
                0.00    0.00      81/81          __gnu_cxx::new_allocator<double>::new_allocator() [118]
-----------------------------------------------
                0.00    0.00      81/81          void std::_Destroy<double*>(double*, double*) [130]
[121]    0.0    0.00    0.00      81         void std::_Destroy_aux<true>::__destroy<double*>(double*, double*) [121]
-----------------------------------------------
                0.00    0.00       1/81          std::_Vector_base<double, std::allocator<double> >::_M_create_storage(unsigned long) [210]
                0.00    0.00      40/81          void std::vector<double, std::allocator<double> >::_M_range_initialize<double const*>(double const*, double const*, std::forward_iterator_tag) [170]
                0.00    0.00      40/81          std::vector<double, std::allocator<double> >::reserve(unsigned long) [171]
[122]    0.0    0.00    0.00      81         std::_Vector_base<double, std::allocator<double> >::_M_allocate(unsigned long) [122]
                0.00    0.00      81/81          std::allocator_traits<std::allocator<double> >::allocate(std::allocator<double>&, unsigned long) [127]
-----------------------------------------------
                0.00    0.00      81/81          std::_Vector_base<double, std::allocator<double> >::~_Vector_base() [125]
[123]    0.0    0.00    0.00      81         std::_Vector_base<double, std::allocator<double> >::_Vector_impl::~_Vector_impl() [123]
                0.00    0.00      81/163         std::allocator<double>::~allocator() [105]
-----------------------------------------------
                0.00    0.00      40/81          std::_Vector_base<double, std::allocator<double> >::_Vector_impl::_Vector_impl() [157]
                0.00    0.00      41/81          std::_Vector_base<double, std::allocator<double> >::_Vector_impl::_Vector_impl(std::allocator<double> const&) [147]
[124]    0.0    0.00    0.00      81         std::_Vector_base<double, std::allocator<double> >::_Vector_impl_data::_Vector_impl_data() [124]
-----------------------------------------------
                0.00    0.00      81/81          std::vector<double, std::allocator<double> >::~vector() [20]
[125]    0.0    0.00    0.00      81         std::_Vector_base<double, std::allocator<double> >::~_Vector_base() [125]
                0.00    0.00      81/81          std::_Vector_base<double, std::allocator<double> >::_Vector_impl::~_Vector_impl() [123]
                0.00    0.00      81/121         std::_Vector_base<double, std::allocator<double> >::_M_deallocate(double*, unsigned long) [111]
-----------------------------------------------
                0.00    0.00      81/81          std::_Vector_base<double, std::allocator<double> >::_M_deallocate(double*, unsigned long) [111]
[126]    0.0    0.00    0.00      81         std::allocator_traits<std::allocator<double> >::deallocate(std::allocator<double>&, double*, unsigned long) [126]
                0.00    0.00      81/81          __gnu_cxx::new_allocator<double>::deallocate(double*, unsigned long) [116]
-----------------------------------------------
                0.00    0.00      81/81          std::_Vector_base<double, std::allocator<double> >::_M_allocate(unsigned long) [122]
[127]    0.0    0.00    0.00      81         std::allocator_traits<std::allocator<double> >::allocate(std::allocator<double>&, unsigned long) [127]
                0.00    0.00      81/81          __gnu_cxx::new_allocator<double>::allocate(unsigned long, void const*) [117]
-----------------------------------------------
                0.00    0.00      81/81          std::vector<double, std::allocator<double> >::_S_max_size(std::allocator<double> const&) [129]
[128]    0.0    0.00    0.00      81         std::allocator_traits<std::allocator<double> >::max_size(std::allocator<double> const&) [128]
                0.00    0.00      81/81          __gnu_cxx::new_allocator<double>::max_size() const [119]
-----------------------------------------------
                0.00    0.00      40/81          std::vector<double, std::allocator<double> >::max_size() const [155]
                0.00    0.00      41/81          std::vector<double, std::allocator<double> >::_S_check_init_len(unsigned long, std::allocator<double> const&) [148]
[129]    0.0    0.00    0.00      81         std::vector<double, std::allocator<double> >::_S_max_size(std::allocator<double> const&) [129]
                0.00    0.00      81/81          std::allocator_traits<std::allocator<double> >::max_size(std::allocator<double> const&) [128]
                0.00    0.00      81/82          unsigned long const& std::min<unsigned long>(unsigned long const&, unsigned long const&) [115]
-----------------------------------------------
                0.00    0.00      81/81          void std::_Destroy<double*, double>(double*, double*, std::allocator<double>&) [131]
[130]    0.0    0.00    0.00      81         void std::_Destroy<double*>(double*, double*) [130]
                0.00    0.00      81/81          void std::_Destroy_aux<true>::__destroy<double*>(double*, double*) [121]
-----------------------------------------------
                0.00    0.00      81/81          std::vector<double, std::allocator<double> >::~vector() [20]
[131]    0.0    0.00    0.00      81         void std::_Destroy<double*, double>(double*, double*, std::allocator<double>&) [131]
                0.00    0.00      81/81          void std::_Destroy<double*>(double*, double*) [130]
-----------------------------------------------
                0.00    0.00      80/80          void std::allocator_traits<std::allocator<double> >::construct<double, double const&>(std::allocator<double>&, double*, double const&) [135]
[132]    0.0    0.00    0.00      80         void __gnu_cxx::new_allocator<double>::construct<double, double const&>(double*, double const&) [132]
                0.00    0.00      80/160         double const& std::forward<double const&>(std::remove_reference<double const&>::type&) [109]
                0.00    0.00      80/80          operator new(unsigned long, void*) [143]
-----------------------------------------------
                0.00    0.00      40/80          std::discrete_distribution<int>::param_type::param_type(std::initializer_list<double>) [163]
                0.00    0.00      40/80          std::initializer_list<double>::end() const [151]
[133]    0.0    0.00    0.00      80         std::initializer_list<double>::begin() const [133]
-----------------------------------------------
                0.00    0.00      80/80          int std::uniform_int_distribution<int>::operator()<std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul> >(std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul>&, std::uniform_int_distribution<int>::param_type const&) [167]
[134]    0.0    0.00    0.00      80         std::uniform_int_distribution<int>::param_type::a() const [134]
-----------------------------------------------
                0.00    0.00      80/80          std::vector<double, std::allocator<double> >::push_back(double const&) [139]
[135]    0.0    0.00    0.00      80         void std::allocator_traits<std::allocator<double> >::construct<double, double const&>(std::allocator<double>&, double*, double const&) [135]
                0.00    0.00      80/160         double const& std::forward<double const&>(std::remove_reference<double const&>::type&) [109]
                0.00    0.00      80/80          void __gnu_cxx::new_allocator<double>::construct<double, double const&>(double*, double const&) [132]
-----------------------------------------------
                0.00    0.00      80/80          std::back_insert_iterator<std::vector<double, std::allocator<double> > > std::partial_sum<__gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > >, std::back_insert_iterator<std::vector<double, std::allocator<double> > > >(__gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > >, __gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > >, std::back_insert_iterator<std::vector<double, std::allocator<double> > >) [178]
[136]    0.0    0.00    0.00      80         std::back_insert_iterator<std::vector<double, std::allocator<double> > >::operator=(double const&) [136]
                0.00    0.00      80/80          std::vector<double, std::allocator<double> >::push_back(double const&) [139]
-----------------------------------------------
                0.00    0.00      80/80          std::back_insert_iterator<std::vector<double, std::allocator<double> > > std::partial_sum<__gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > >, std::back_insert_iterator<std::vector<double, std::allocator<double> > > >(__gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > >, __gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > >, std::back_insert_iterator<std::vector<double, std::allocator<double> > >) [178]
[137]    0.0    0.00    0.00      80         std::back_insert_iterator<std::vector<double, std::allocator<double> > >::operator*() [137]
-----------------------------------------------
                0.00    0.00      80/80          std::back_insert_iterator<std::vector<double, std::allocator<double> > > std::partial_sum<__gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > >, std::back_insert_iterator<std::vector<double, std::allocator<double> > > >(__gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > >, __gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > >, std::back_insert_iterator<std::vector<double, std::allocator<double> > >) [178]
[138]    0.0    0.00    0.00      80         std::back_insert_iterator<std::vector<double, std::allocator<double> > >::operator++() [138]
-----------------------------------------------
                0.00    0.00      80/80          std::back_insert_iterator<std::vector<double, std::allocator<double> > >::operator=(double const&) [136]
[139]    0.0    0.00    0.00      80         std::vector<double, std::allocator<double> >::push_back(double const&) [139]
                0.00    0.00      80/80          void std::allocator_traits<std::allocator<double> >::construct<double, double const&>(std::allocator<double>&, double*, double const&) [135]
-----------------------------------------------
                0.00    0.00      80/80          double* std::copy<double const*, double*>(double const*, double const*, double*) [188]
[140]    0.0    0.00    0.00      80         double const* std::__miter_base<double const*>(double const*) [140]
-----------------------------------------------
                0.00    0.00      80/80          double* std::__copy_move_a<false, double const*, double*>(double const*, double const*, double*) [181]
[141]    0.0    0.00    0.00      80         double const* std::__niter_base<double const*>(double const*) [141]
-----------------------------------------------
                0.00    0.00      40/80          std::vector<double, std::allocator<double> >::vector<double const*, void>(double const*, double const*, std::allocator<double> const&) [173]
                0.00    0.00      40/80          std::iterator_traits<double const*>::difference_type std::distance<double const*>(double const*, double const*) [189]
[142]    0.0    0.00    0.00      80         std::iterator_traits<double const*>::iterator_category std::__iterator_category<double const*>(double const* const&) [142]
-----------------------------------------------
                0.00    0.00      80/80          void __gnu_cxx::new_allocator<double>::construct<double, double const&>(double*, double const&) [132]
[143]    0.0    0.00    0.00      80         operator new(unsigned long, void*) [143]
-----------------------------------------------
                0.00    0.00       4/44          compute_mean_and_standard_deviation_for_percolating_probability(long, double, int, int, int) [2]
                0.00    0.00      40/44          std::discrete_distribution<int>::param_type::_M_initialize() [162]
[144]    0.0    0.00    0.00      44         std::vector<double, std::allocator<double> >::operator[](unsigned long) [144]
-----------------------------------------------
                0.00    0.00      42/42          std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul>::mersenne_twister_engine(unsigned long) [146]
[145]    0.0    0.00    0.00      42         std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul>::seed(unsigned long) [145]
                0.00    0.00   26208/26208       unsigned long std::__detail::__mod<unsigned long, 4294967296ul, 1ul, 0ul>(unsigned long) [87]
                0.00    0.00   26166/26166       unsigned long std::__detail::__mod<unsigned long, 624ul, 1ul, 0ul>(unsigned long) [89]
-----------------------------------------------
                0.00    0.00       1/42          main [1]
                0.00    0.00       1/42          compute_mean_and_standard_deviation_for_percolating_probability(long, double, int, int, int) [2]
                0.00    0.00      40/42          fill_matrix(std::vector<long, std::allocator<long> >&, int, double) [19]
[146]    0.0    0.00    0.00      42         std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul>::mersenne_twister_engine(unsigned long) [146]
                0.00    0.00      42/42          std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul>::seed(unsigned long) [145]
-----------------------------------------------
                0.00    0.00       1/41          std::_Vector_base<double, std::allocator<double> >::_Vector_base(unsigned long, std::allocator<double> const&) [211]
                0.00    0.00      40/41          std::_Vector_base<double, std::allocator<double> >::_Vector_base(std::allocator<double> const&) [159]
[147]    0.0    0.00    0.00      41         std::_Vector_base<double, std::allocator<double> >::_Vector_impl::_Vector_impl(std::allocator<double> const&) [147]
                0.00    0.00      41/82          std::allocator<double>::allocator(std::allocator<double> const&) [114]
                0.00    0.00      41/81          std::_Vector_base<double, std::allocator<double> >::_Vector_impl_data::_Vector_impl_data() [124]
-----------------------------------------------
                0.00    0.00       1/41          std::vector<double, std::allocator<double> >::vector(unsigned long, double const&, std::allocator<double> const&) [235]
                0.00    0.00      40/41          void std::vector<double, std::allocator<double> >::_M_range_initialize<double const*>(double const*, double const*, std::forward_iterator_tag) [170]
[148]    0.0    0.00    0.00      41         std::vector<double, std::allocator<double> >::_S_check_init_len(unsigned long, std::allocator<double> const&) [148]
                0.00    0.00      41/81          std::vector<double, std::allocator<double> >::_S_max_size(std::allocator<double> const&) [129]
                0.00    0.00      41/82          std::allocator<double>::allocator(std::allocator<double> const&) [114]
                0.00    0.00      41/163         std::allocator<double>::~allocator() [105]
-----------------------------------------------
                0.00    0.00      40/40          std::back_insert_iterator<std::vector<double, std::allocator<double> > > std::partial_sum<__gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > >, std::back_insert_iterator<std::vector<double, std::allocator<double> > > >(__gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > >, __gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > >, std::back_insert_iterator<std::vector<double, std::allocator<double> > >) [178]
[149]    0.0    0.00    0.00      40         bool __gnu_cxx::operator==<double*, std::vector<double, std::allocator<double> > >(__gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > > const&, __gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > > const&) [149]
                0.00    0.00      80/720         __gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > >::base() const [97]
-----------------------------------------------
                0.00    0.00      40/40          std::vector<double, std::allocator<double> >::max_size() const [155]
[150]    0.0    0.00    0.00      40         std::_Vector_base<double, std::allocator<double> >::_M_get_Tp_allocator() const [150]
-----------------------------------------------
                0.00    0.00      40/40          std::discrete_distribution<int>::param_type::param_type(std::initializer_list<double>) [163]
[151]    0.0    0.00    0.00      40         std::initializer_list<double>::end() const [151]
                0.00    0.00      40/80          std::initializer_list<double>::begin() const [133]
                0.00    0.00      40/40          std::initializer_list<double>::size() const [152]
-----------------------------------------------
                0.00    0.00      40/40          std::initializer_list<double>::end() const [151]
[152]    0.0    0.00    0.00      40         std::initializer_list<double>::size() const [152]
-----------------------------------------------
                0.00    0.00      40/40          int std::uniform_int_distribution<int>::operator()<std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul> >(std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul>&, std::uniform_int_distribution<int>::param_type const&) [167]
[153]    0.0    0.00    0.00      40         std::uniform_int_distribution<int>::param_type::b() const [153]
-----------------------------------------------
                0.00    0.00      40/40          std::vector<double, std::allocator<double> >::reserve(unsigned long) [171]
[154]    0.0    0.00    0.00      40         std::vector<double, std::allocator<double> >::capacity() const [154]
-----------------------------------------------
                0.00    0.00      40/40          std::vector<double, std::allocator<double> >::reserve(unsigned long) [171]
[155]    0.0    0.00    0.00      40         std::vector<double, std::allocator<double> >::max_size() const [155]
                0.00    0.00      40/40          std::_Vector_base<double, std::allocator<double> >::_M_get_Tp_allocator() const [150]
                0.00    0.00      40/81          std::vector<double, std::allocator<double> >::_S_max_size(std::allocator<double> const&) [129]
-----------------------------------------------
                0.00    0.00      40/40          double* std::__copy_move_a2<false, double const*, double*>(double const*, double const*, double*) [184]
[156]    0.0    0.00    0.00      40         double* std::__copy_move<false, true, std::random_access_iterator_tag>::__copy_m<double>(double const*, double const*, double*) [156]
-----------------------------------------------
                0.00    0.00      40/40          std::_Vector_base<double, std::allocator<double> >::_Vector_base() [158]
[157]    0.0    0.00    0.00      40         std::_Vector_base<double, std::allocator<double> >::_Vector_impl::_Vector_impl() [157]
                0.00    0.00      40/81          std::_Vector_base<double, std::allocator<double> >::_Vector_impl_data::_Vector_impl_data() [124]
                0.00    0.00      40/81          std::allocator<double>::allocator() [120]
-----------------------------------------------
                0.00    0.00      40/40          std::vector<double, std::allocator<double> >::vector() [172]
[158]    0.0    0.00    0.00      40         std::_Vector_base<double, std::allocator<double> >::_Vector_base() [158]
                0.00    0.00      40/40          std::_Vector_base<double, std::allocator<double> >::_Vector_impl::_Vector_impl() [157]
-----------------------------------------------
                0.00    0.00      40/40          std::vector<double, std::allocator<double> >::vector<double const*, void>(double const*, double const*, std::allocator<double> const&) [173]
[159]    0.0    0.00    0.00      40         std::_Vector_base<double, std::allocator<double> >::_Vector_base(std::allocator<double> const&) [159]
                0.00    0.00      40/41          std::_Vector_base<double, std::allocator<double> >::_Vector_impl::_Vector_impl(std::allocator<double> const&) [147]
-----------------------------------------------
                0.00    0.00      40/40          double* std::uninitialized_copy<double const*, double*>(double const*, double const*, double*) [186]
[160]    0.0    0.00    0.00      40         double* std::__uninitialized_copy<true>::__uninit_copy<double const*, double*>(double const*, double const*, double*) [160]
                0.00    0.00      40/40          double* std::copy<double const*, double*>(double const*, double const*, double*) [188]
-----------------------------------------------
                0.00    0.00      40/40          std::back_insert_iterator<std::vector<double, std::allocator<double> > > std::back_inserter<std::vector<double, std::allocator<double> > >(std::vector<double, std::allocator<double> >&) [182]
[161]    0.0    0.00    0.00      40         std::back_insert_iterator<std::vector<double, std::allocator<double> > >::back_insert_iterator(std::vector<double, std::allocator<double> >&) [161]
                0.00    0.00      40/40          std::vector<double, std::allocator<double> >* std::__addressof<std::vector<double, std::allocator<double> > >(std::vector<double, std::allocator<double> >&) [177]
-----------------------------------------------
                0.00    0.00      40/40          std::discrete_distribution<int>::param_type::param_type(std::initializer_list<double>) [163]
[162]    0.0    0.00    0.00      40         std::discrete_distribution<int>::param_type::_M_initialize() [162]
                0.00    0.00     160/160         std::vector<double, std::allocator<double> >::begin() [107]
                0.00    0.00     120/163         std::vector<double, std::allocator<double> >::size() const [104]
                0.00    0.00     120/120         std::vector<double, std::allocator<double> >::end() [112]
                0.00    0.00      40/40          double std::accumulate<__gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > >, double>(__gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > >, __gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > >, double) [176]
                0.00    0.00      40/40          __gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > > std::__detail::__normalize<__gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > >, __gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > >, double>(__gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > >, __gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > >, __gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > >, double const&) [174]
                0.00    0.00      40/40          std::vector<double, std::allocator<double> >::reserve(unsigned long) [171]
                0.00    0.00      40/40          std::back_insert_iterator<std::vector<double, std::allocator<double> > > std::back_inserter<std::vector<double, std::allocator<double> > >(std::vector<double, std::allocator<double> >&) [182]
                0.00    0.00      40/40          std::back_insert_iterator<std::vector<double, std::allocator<double> > > std::partial_sum<__gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > >, std::back_insert_iterator<std::vector<double, std::allocator<double> > > >(__gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > >, __gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > >, std::back_insert_iterator<std::vector<double, std::allocator<double> > >) [178]
                0.00    0.00      40/44          std::vector<double, std::allocator<double> >::operator[](unsigned long) [144]
-----------------------------------------------
                0.00    0.00      40/40          std::discrete_distribution<int>::discrete_distribution(std::initializer_list<double>) [164]
[163]    0.0    0.00    0.00      40         std::discrete_distribution<int>::param_type::param_type(std::initializer_list<double>) [163]
                0.00    0.00      40/81          std::allocator<double>::allocator() [120]
                0.00    0.00      40/40          std::initializer_list<double>::end() const [151]
                0.00    0.00      40/80          std::initializer_list<double>::begin() const [133]
                0.00    0.00      40/40          std::vector<double, std::allocator<double> >::vector<double const*, void>(double const*, double const*, std::allocator<double> const&) [173]
                0.00    0.00      40/163         std::allocator<double>::~allocator() [105]
                0.00    0.00      40/40          std::discrete_distribution<int>::param_type::_M_initialize() [162]
                0.00    0.00      40/40          std::vector<double, std::allocator<double> >::vector() [172]
-----------------------------------------------
                0.00    0.00      40/40          fill_matrix(std::vector<long, std::allocator<long> >&, int, double) [19]
[164]    0.0    0.00    0.00      40         std::discrete_distribution<int>::discrete_distribution(std::initializer_list<double>) [164]
                0.00    0.00      40/40          std::discrete_distribution<int>::param_type::param_type(std::initializer_list<double>) [163]
-----------------------------------------------
                0.00    0.00      40/40          int std::uniform_int_distribution<int>::operator()<std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul> >(std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul>&, std::uniform_int_distribution<int>::param_type const&) [167]
